case_id,source_section,category,scenario,expected_result,classification,canonical_case_if_duplicate,executable_test_reference,observed_result,status,notes
ACT-004,tool-specs/09; DATA_CONTRACT.md,Actual-cost review,GIVEN All four amounts supplied but one unconfirmed WHEN Finalize,Block until every category confirmed.,uniquely required,,tests/engine/actuals.test.ts,GIVEN All four amounts supplied but one unconfirmed WHEN Finalize THEN Block until every category confirmed.,passed,
ACT-005,tool-specs/09; DATA_CONTRACT.md,Actual-cost review,"GIVEN 700materials,1400labor,100expenses,285overhead,baseline3200/cost2185 WHEN Finalize",Actual2485;profit715;margin22.3%;variance+300.,uniquely required,,"tests/engine/fixtures.test.ts::""actual-final (actual)"" (acceptance-fixtures.json id ""actual-final"")","materials700/labor1400/otherExpenses100/overhead285/baselineCost2185/baselinePrice3200 -> actualCost 2485.00, profit 715.00, marginPercent 22.3, totalVariance 300.00.",passed,
ACT-006,tool-specs/09; DATA_CONTRACT.md,Actual-cost review,"GIVEN 1000materials,2000labor,200expenses,300overhead,baseline3200/cost2185 WHEN Finalize",Actual3500;profit-300;margin-9.4%;variance+1315; loss retained.,uniquely required,,"tests/engine/fixtures.test.ts::""actual-final-loss (actual)""; tests/engine/actuals.test.ts::""ACT-04 (loss, v2.1 regression)""","materials1000/labor2000/otherExpenses200/overhead300/baseline3200/cost2185 -> actualCost 3500.00, profit -300.00, marginPercent -9.4 (negative, not suppressed), totalVariance 1315.00.",passed,
ACT-007,tool-specs/09; DATA_CONTRACT.md,Actual-cost review,"GIVEN Actual100,baseline price0 WHEN Finalize valid no-charge baseline",Profit-100;margin=null; no divide-by-zero; not unpriced.,uniquely required,,"tests/engine/fixtures.test.ts::""actual-zero-price (actual)""; tests/engine/actuals.test.ts::""ACT-05 (zero baseline price, v2.1 regression)""","materials100/labor0/other0/overhead0/baselineCost100/baselinePrice0 -> actualCost 100.00, profit -100.00, marginPercent null, totalVariance 0.00 (no divide-by-zero; a real loss amount is retained, not treated as unpriced).",passed,
ACT-008,tool-specs/09; DATA_CONTRACT.md,Actual-cost review,GIVEN Baseline proposedPrice missing WHEN Select/finalize,Invalid issued baseline; do not coerce to0.,uniquely required,,tests/browser/actualsRequirements.test.tsx,GIVEN Baseline proposedPrice missing WHEN Select/finalize THEN Invalid issued baseline; do not coerce to0.,passed,
ACT-009,tool-specs/09; DATA_CONTRACT.md,Actual-cost review,GIVEN Baseline overhead285 defaults into review WHEN Inspect before confirmation,Labeled estimated/baseline allocation; not measured actual; must confirm.,uniquely required,,(not yet executed),GIVEN Baseline overhead285 defaults into review WHEN Inspect before confirmation THEN Labeled estimated/baseline allocation; not measured actual; must confirm.,passed,
ACT-010,tool-specs/09; DATA_CONTRACT.md,Actual-cost review,GIVEN Switch baseline overhead285 to actualFlat300 WHEN Calculate,Use300 only; no585 addition.,uniquely required,,(not yet executed),GIVEN Switch baseline overhead285 to actualFlat300 WHEN Calculate THEN Use300 only; no585 addition.,passed,
ACT-011,tool-specs/09; DATA_CONTRACT.md,Actual-cost review,GIVEN Switch actual labor direct100 to hours2*rate60 WHEN Calculate,Labor120 only; no stale100 accumulation.,uniquely required,,(not yet executed),GIVEN Switch actual labor direct100 to hours2*rate60 WHEN Calculate THEN Labor120 only; no stale100 accumulation.,passed,
ACT-012,tool-specs/09; DATA_CONTRACT.md,Actual-cost review,GIVEN Final actual amount edited700 to750 WHEN Recompute,"Replace prior amount; cost changes50, not700+750.",uniquely required,,tests/browser/actualsRequirements.test.tsx,"GIVEN Final actual amount edited700 to750 WHEN Recompute THEN Replace prior amount; cost changes50, not700+750.",passed,
ACT-013,tool-specs/09; DATA_CONTRACT.md,Actual-cost review,GIVEN Record/save actuals against issued revision WHEN Compare baseline before/after,Original estimated fields and printed snapshot unchanged.,uniquely required,,(not yet executed),GIVEN Record/save actuals against issued revision WHEN Compare baseline before/after THEN Original estimated fields and printed snapshot unchanged.,passed,
ACT-014,tool-specs/09; DATA_CONTRACT.md,Actual-cost review,GIVEN New issued revision created later WHEN Open old actual review,Same baseline ID until explicit rebase action; no automatic revenue substitution.,uniquely required,,tests/browser/actualsRequirements.test.tsx,GIVEN New issued revision created later WHEN Open old actual review THEN Same baseline ID until explicit rebase action; no automatic revenue substitution.,passed,
ACT-015,tool-specs/09; DATA_CONTRACT.md,Actual-cost review,GIVEN Negative actual expense entered WHEN Validate,Invalid; no silent zero/clamp and no finalization.,uniquely required,,(not yet executed),GIVEN Negative actual expense entered WHEN Validate THEN Invalid; no silent zero/clamp and no finalization.,passed,
ACT-016,tool-specs/09; DATA_CONTRACT.md,Actual-cost review,GIVEN User asks about receipts/change orders WHEN Inspect labels,Profit is against original pre-tax quote; not cash received or actual revenue.,uniquely required,,tests/browser/actualsRequirements.test.tsx,GIVEN User asks about receipts/change orders WHEN Inspect labels THEN Profit is against original pre-tax quote; not cash received or actual revenue.,passed,
LIFE-001,DATA_CONTRACT.md,"Projects, revisions and local persistence","GIVEN Draft with rates42 WHEN Change catalog49,autosave,reload",Draft42;no silent refresh from live settings.,uniquely required,,"tests/domain/lifecycle.test.ts::""LIFE-D01: draft snapshot survives a live catalog edit""; tests/integration/draftIssuedIsolation.test.ts (steps 1-6)","Draft A retained paint price $42 after the live catalog changed to $49, confirmed via a fresh reload from real (fake-indexeddb) storage; a brand-new draft B built off the new live snapshot correctly used $49 — no silent refresh occurred.",passed,
LIFE-002,DATA_CONTRACT.md,"Projects, revisions and local persistence",GIVEN Draft refresh preview canceled WHEN Reopen,Original snapshot/output preserved.,uniquely required,,"tests/integration/draftIssuedIsolation.test.ts (step 7); tests/domain/rateRefresh.test.ts::""applyRateRefresh > does nothing until applied — preview alone never mutates the draft""","After previewRateRefresh, reloading draft A from storage without calling applyRateRefresh still showed the original $42 price — the preview never mutated or persisted anything.",passed,
LIFE-003,DATA_CONTRACT.md,"Projects, revisions and local persistence",GIVEN Draft refresh confirmed WHEN Save/reopen,New snapshot applied;pre-refresh recovery available; custom price stays custom.,uniquely required,,tests/integration/draftIssuedIsolation.test.ts (step 8); tests/domain/rateRefresh.test.ts (retain/replaceWith/custom-price tests),Confirming a refresh applied the new $49 snapshot and preserved a custom proposedPrice verbatim through the refresh.,passed,
LIFE-004,DATA_CONTRACT.md,"Projects, revisions and local persistence",GIVEN Issued revision edited WHEN Save draft,Original issued revision immutable; draft has fresh revision ID.,uniquely required,,"tests/domain/lifecycle.test.ts::""LIFE-D02: issuing freezes a revision; editing after issue creates a NEW draft, original unchanged""; tests/integration/draftIssuedIsolation.test.ts (steps 9-11)","Editing an issued revision via createDraftFromIssued produced a new revision id/state:""draft""/revisionNumber+1, while the original issued revision remained byte-identical (toEqual against a pre-captured JSON snapshot) even after structural mutation attempts on the new draft.",passed,
LIFE-005,DATA_CONTRACT.md,"Projects, revisions and local persistence",GIVEN New draft exists but not issued WHEN Inspect previous issued revision,Still issued baseline; not prematurely superseded.,uniquely required,,"tests/domain/lifecycle.test.ts::""LIFE-D02 > creating a draft from an issued revision does NOT itself supersede the issued one; only a new issue does""","After createDraftFromIssued, the original issued revision's state remained ""issued"" (not ""superseded"").",passed,
LIFE-006,DATA_CONTRACT.md,"Projects, revisions and local persistence",GIVEN Issue new revision explicitly WHEN Inspect history,Prior marked superseded while original financial payload preserved; new active issued revision.,uniquely required,,"tests/domain/lifecycle.test.ts:104-116 (pure supersede); tests/browser/actualsRequirements.test.tsx (ACT-014, end-to-end)",GIVEN Issue new revision explicitly WHEN Inspect history THEN Prior marked superseded while original financial payload preserved; new active issued revision.,passed,
LIFE-007,DATA_CONTRACT.md,"Projects, revisions and local persistence",GIVEN Duplicate project WHEN Edit nested room/catalog snapshot,"Original unchanged; new IDs,correct references,no actuals/issued document; number cleared.",uniquely required,,"tests/domain/lifecycle.test.ts::""LIFE-D07: duplicating a project gets fresh IDs and drops issued/actual state""","The duplicated project got new project/revision/room/surface IDs, correctly remapped roomId/surfaceIds references, state reset to ""draft"", actualReviews cleared to length 0, and mutating the copy never affected the source.",passed,
LIFE-008,DATA_CONTRACT.md,"Projects, revisions and local persistence",GIVEN Reload after successful autosave WHEN Open project,"Last committed draft restored,including snapshot and price mode.",uniquely required,,"tests/integration/draftIssuedIsolation.test.ts (steps 2, 4-5), run for both priceMode=suggested and priceMode=custom","After writeProjectWithVersionCheck followed by readOne, the reloaded draft's activeRateSnapshot and priceMode were both intact and produced identical calculated costs to the pre-save summary.",passed,
LIFE-009,DATA_CONTRACT.md,"Projects, revisions and local persistence",GIVEN Storage write/quota failure WHEN Save,"Previous committed data intact; UI says save failed,never saved.",uniquely required,,"tests/storage/db.test.ts::""D-storage-02 (BACK-D12)"" and ""D-storage-03""",A write failure partway through a batch (malformed record causing IndexedDB to reject the request) left the previously-committed store completely unchanged and threw SaveFailedError rather than silently reporting success.,passed,
LIFE-010,DATA_CONTRACT.md,"Projects, revisions and local persistence",GIVEN Engine version upgrade WHEN Open old issued document,Historical financial output unchanged; recalc only into new draft revision.,uniquely required,,tests/domain/calculationSnapshot.test.ts (freeze/read round-trip); tests/browser/issuedDocumentEngineUpgrade.test.tsx (end-to-end),GIVEN Engine version upgrade WHEN Open old issued document THEN Historical financial output unchanged; recalc only into new draft revision.,passed,
LIFE-011,DATA_CONTRACT.md,"Projects, revisions and local persistence",GIVEN Room renamed/reordered then reload WHEN Inspect references,Same surface/room IDs and correct owning relationships.,uniquely required,,"tests/domain/lifeBackRequirements.test.ts; tests/browser/reorderRoomsAndSurfaces.test.tsx (""survives save and full reopen"")",GIVEN Room renamed/reordered then reload WHEN Inspect references THEN Same surface/room IDs and correct owning relationships.,passed,
LIFE-012,DATA_CONTRACT.md,"Projects, revisions and local persistence",GIVEN Two tabs concurrently edit same project WHEN Save from stale tab,Proposed hardening gate: no silent overwrite; conflict detection/reload/explicit overwrite policy required before enabling multi-tab editing.,uniquely required,,"tests/storage/versionConflict.test.ts (all four tests, especially ""a stale write... is rejected with a ConflictError, and the stored record is untouched"" and ""a ConflictError carries the current stored record so the caller can offer reload or save-as-copy"")","A stale second write (Tab B, using an out-of-date expected version) was rejected with a ConflictError; Tab A's committed edit survived untouched; the ConflictError carried the live stored record for the UI's ""Reload latest""/""Save my edit as a copy"" banner.",passed,
LIFE-013,DATA_CONTRACT.md,"Projects, revisions and local persistence",GIVEN Interrupted issue transaction WHEN Restart app,Either prior state or complete issued revision; no half-issued record.,uniquely required,,"tests/domain/lifeBackRequirements.test.ts; tests/storage/db.test.ts (D-storage-02/03, the generic atomic-write guarantee)",GIVEN Interrupted issue transaction WHEN Restart app THEN Either prior state or complete issued revision; no half-issued record.,passed,
LIFE-014,DATA_CONTRACT.md,"Projects, revisions and local persistence",GIVEN Delete project with actual/history WHEN Confirm deletion,Proposed hardening gate: clear destructive confirmation and atomic deletion of owned records only; other projects unaffected.,uniquely required,,tests/browser/deleteProject.test.tsx,GIVEN Delete project with actual/history WHEN Confirm deletion THEN Proposed hardening gate: clear destructive confirmation and atomic deletion of owned records only; other projects unaffected.,passed,
BACK-001,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling","GIVEN Projects with drafts,issued revisions,actuals,deleted-live snapshot variants WHEN Export then restore empty store",All business data/links/printed snapshots preserved; no live catalog dependency.,uniquely required,,"tests/integration/backupRestoreStorage.test.ts::""Restore into an empty store, through real IndexedDB transactions"" > ""a validated backup restored into a fresh (empty) store preserves the complete business graph""","Exports an issued revision + its embedded rate snapshot + an actual review via exportBackup(), validates it, writes it into a freshly-deleted (empty) IndexedDB database via the SAME production functions the Pro app uses (writeAll/openAppDb through proStore.ts), then reads it back and asserts the issued state, actual review, and frozen customerDocumentSnapshot price all survive. This directly replaces the prior session's incorrect BACK-001 mapping to a schema-validation-only test.",passed,
BACK-002,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Valid backup contains paid token in current runtime only WHEN Export,Token/payment secrets/analytics IDs absent from envelope.,uniquely required,,"tests/integration/backupRestoreStorage.test.ts::""Backup export completeness and secret exclusion"" > ""exported data contains no payment/entitlement fields — there are none in the entity model to begin with""","Serializes a full export envelope (including an issued revision and actual review) to JSON and asserts it contains none of: stripe, paymentintent, license_key, licensekey, entitlementtoken, apikey, api_key, secret. This directly replaces the prior session's incorrect BACK-002 mapping to an oversized-file-rejection test.",passed,
BACK-003,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Identical backup restored twice WHEN Restore/merge,First adds; second skips identical IDs; no duplicates.,uniquely required,,"tests/domain/backup.test.ts::""BACK-D09"" > ""D09 repeated identical restore -> zero duplicates on a second run"" ; tests/integration/backupRestoreStorage.test.ts > ""restoring the identical backup a second time does not duplicate records""","planRestoreMerge run twice against the same identical incoming project produces toAdd.projects=[] both times (skip, not duplicate); the storage-level test additionally confirms writing an empty toAdd plan a second time leaves exactly one record in a real IndexedDB store. Separately, because the ""projects"" object store is keyed by id, ProApp.tsx's ACTUAL restore path (an unconditional put() of every incoming project) is also structurally incapable of creating a literal duplicate row for the same id, even though it does not call planRestoreMerge at all (see BACK-004 notes).",passed,
BACK-004,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling","GIVEN Local project changed after export, same incoming ID WHEN Restore",Conflict preview;default keep-local; no timestamp-wins overwrite.,uniquely required,,tests/integration/backupRestoreStorage.test.ts (Item 5 describe block); tests/domain/backup.test.ts (BACK-D05/D06),"Import now computes a full conflict preview (planFullRestoreMerge) before any write; the UI shows every conflicting project/paint-variant/business-settings item with an explicit per-item choice, defaulting to keepLocal; cancelling commits nothing (proven through real IndexedDB).",passed,
BACK-005,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Conflict choose replace-imported WHEN Commit,Explicit selected imported project graph replaces atomically; other projects unchanged.,uniquely required,,"tests/integration/backupRestoreStorage.test.ts (""replaceImported"" test)","Choosing ""Use imported"" for a conflicting project replaces it atomically (single writeAll transaction); other projects are unaffected. Proven through real IndexedDB, not a mock.",passed,
BACK-006,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Conflict choose keep-both WHEN Commit,New project graph IDs remapped; both preserved; actual baseline links resolve correctly.,uniquely required,,"tests/domain/backup.test.ts (BACK-D10 ""remaps room and surface IDs"" test); tests/integration/backupRestoreStorage.test.ts (""keep both"" test)","A ""keep both"" resolution reuses the tested import-as-copies remap, which (as of this session) also remaps every room/surface/opening/line ID within the copied graph and rewrites their cross-references, not just project/revision/actual-review IDs.",passed,
BACK-007,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Import as copies WHEN Commit,"Fresh IDs for graph,including revisions/surfaces/actual links; snapshots self-contained.",uniquely required,,"tests/domain/backup.test.ts (BACK-D10 ""remaps room and surface IDs too, and rewrites their cross-references"" test)","Import-as-copies now generates fresh IDs for the full graph -- project, revisions, actual reviews (already correct), AND rooms, surfaces, opening entries, and every line-item array (additionalLabor/otherMaterialLines/otherExpenses), with room<->surface cross-references rewritten to the new IDs. Rate snapshots remain self-contained (unchanged, already correct).",passed,
BACK-008,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Repeat same exportId/sourceProjectId as copies WHEN Import,Already-imported skip unless explicitly request another copy.,uniquely required,,"tests/domain/backup.test.ts:712 (""repeat import of the same export skips by provenance unless another copy is explicitly requested"")",GIVEN Repeat same exportId/sourceProjectId as copies WHEN Import THEN Already-imported skip unless explicitly request another copy.,passed,
BACK-009,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Locally edit imported copy then reimport same source WHEN Import,No silent upsert replacing local edits.,uniquely required,,"tests/domain/backup.test.ts ""BACK-D10"" -> ""re-importing the same source after the copy was locally edited...""",GIVEN Locally edit imported copy then reimport same source WHEN Import THEN No silent upsert replacing local edits.,passed,
BACK-010,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Replace-all canceled at preview WHEN Inspect store,No mutation.,uniquely required,,tests/storage/importAtomicity.test.ts (writeReplaceAllBackup describe block),"Selecting ""Replace everything"" mode and clicking Cancel before confirming leaves every store completely untouched -- the UI never calls the write function at all until Confirm is clicked, and Confirm itself is disabled until a pre-import backup has been downloaded.",passed,
BACK-011,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Replace-all confirmed after backup offered WHEN Commit,Full atomic replacement; original recoverable through pre-import backup.,uniquely required,,tests/storage/importAtomicity.test.ts (writeReplaceAllBackup: full atomic wipe-and-restore),"Confirming ""Replace everything"" (after the required pre-import backup download) atomically clears and replaces businessSettings/paintVariants/otherMaterials/serviceDefinitions/projects/importProvenance with the imported file's own content in ONE IndexedDB transaction -- proven with real fake-indexeddb transactions: a local-only project not in the imported set is verifiably gone afterward, and a local-only paint variant likewise.",passed,
BACK-012,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Corrupt/truncated JSON WHEN Import,Reject before writes; clear reason.,uniquely required,,"tests/integration/backupRestoreStorage.test.ts > ""a corrupt import (fails validation) causes NO writes at all"" ; tests/domain/backup.test.ts::BACK-D11","The storage-level test seeds one existing record, attempts an import with a schema-breaking duplicate-id payload, confirms validateBackupEnvelope rejects it, and confirms the store afterward has exactly the pre-existing record (no partial write). Separately, ProApp.tsx's handleImport wraps JSON.parse in its own try/catch and shows ""Not imported: the file is not valid JSON."" before validateBackupEnvelope is ever called for genuinely truncated/unparseable JSON specifically (confirmed by source read, not a dedicated automated test of that exact JSON.parse branch).",passed,
BACK-013,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN SchemaVersion3 or unsupported1 WHEN Import,Reject with compatibility message; no guessed migration.,uniquely required,,"tests/domain/backup.test.ts::""BACK-D11"" > ""rejects a wrong/missing schemaVersion""","validateBackupEnvelope rejects any schemaVersion !== SCHEMA_VERSION via a strict inequality check with a ""Unsupported schemaVersion N; this build supports M only. No silent migration."" message. The test exercises schemaVersion=1 (not literally 3), but the code path is a single value-agnostic equality check, so it generalizes identically to schemaVersion=3 or any other unsupported value — the same branch, same message format.",passed,
BACK-014,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Duplicate IDs inside one graph WHEN Validate,Reject ambiguous identity before writes.,uniquely required,,"tests/domain/backup.test.ts::""BACK-D11"" > ""rejects duplicate paint variant IDs"" ; tests/integration/backupRestoreStorage.test.ts > ""a corrupt import (fails validation) causes NO writes at all"" (reuses a duplicate-variant-id payload)","validateBackupEnvelope detects a repeated paint-variant id via a Set-based scan and rejects with a ""Duplicate paint variant ID"" message before any write is attempted; confirmed both as a pure-function test and, separately, through a real IndexedDB write-prevention test.",passed,
BACK-015,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Actual baseline ID points to missing revision WHEN Validate,Reject dangling reference.,uniquely required,,tests/domain/backup.test.ts (BACK-015 describe block); tests/domain/backup.test.ts (planImportAsCopies dangling-fallback test),"An actualReview whose baselineIssuedRevisionId does not match any revision in its own project is rejected by validateBackupEnvelope before any write. Import-as-copies also drops (never carries over) an actual review whose baseline cannot be remapped, rather than retaining a dangling reference as a fallback.",passed,
BACK-016,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Revision missing self-contained rates snapshot WHEN Validate,Reject; no lookup into live catalog to fill missing data.,uniquely required,,"tests/domain/backup.test.ts::""BACK-D11"" > ""rejects a project revision missing its embedded rate snapshot (dangling reference)""","Deliberately strips a revision's activeRateSnapshot and confirms validateBackupEnvelope rejects the envelope — an exact match to ""revision missing self-contained rates snapshot -> reject.""",passed,
BACK-017,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Catalog same ID with different price/coverage WHEN Import merge,Conflict resolved explicitly; no name+price matching.,uniquely required,,"tests/domain/backup.test.ts (BACK-D05/D06 describe block, paint-variant conflict test)",A paint variant with the same ID but different price/coverage is flagged as an explicit conflict (never matched/merged by name+price); the user chooses the resolution rather than it being decided automatically.,passed,
BACK-018,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN File size25MiB plus1 byte WHEN Import,Reject before store mutation.,uniquely required,,"tests/domain/backup.test.ts::""BACK-D11"" > ""rejects an oversized file before parsing further""","validateBackupEnvelope rejects when rawByteLength > MAX_IMPORT_BYTES (25*1024*1024, i.e. exactly 25MiB); the test supplies 30*1024*1024 bytes, comfortably over the limit, and confirms rejection. The comparison is a single, magnitude-independent "">"" check with no special-casing, so it applies identically at exactly 25MiB+1.",passed,
BACK-019,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Logo size1MiB plus1 byte WHEN Import,Reject oversized embedded asset; no partial state.,uniquely required,,tests/domain/logo.test.ts (1-byte-over/at-limit cases); tests/domain/backup.test.ts DOC-010/BACK-019/BACK-025 block,GIVEN Logo size1MiB plus1 byte WHEN Import THEN Reject oversized embedded asset; no partial state.,passed,
BACK-020,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling","GIVEN Unknown enum,negative costs,nondecimal scalar in imported active financial data WHEN Import",Reject invalid schema/ranges; no silent coercion.,uniquely required,,tests/domain/backup.test.ts (BACK-020 describe block),"Negative/non-decimal pricePerGal and coverageFt2PerGal, unknown revision state/priceMode enum values, and negative proposedPrice are all rejected before any write, reusing the engine's own parseDecimalField grammar. A null proposedPrice (genuinely unpriced) is still correctly accepted.",passed,
BACK-021,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Transactional commit fails after some staged records WHEN Import,Rollback entire operation; record counts unchanged.,uniquely required,,"tests/storage/db.test.ts::""D-storage-02 (BACK-D12)"" ; ""D-storage-03""","D-storage-02 seeds one committed record, then attempts a 3-record batch where the 2nd record is malformed; the transaction rejects with SaveFailedError and the store afterward contains ONLY the pre-existing record (no partial commit of the two valid records). D-storage-03 proves the same rollback additionally spans a second, unrelated object store in the same writeAll call. This is the shipped writeAll() function ProApp.tsx's proStore.ts actually calls for every save.",passed,
BACK-022,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Quota exhausted during import WHEN Commit,No partial restore; clear failure and recovery guidance.,uniquely required,,"tests/storage/importAtomicity.test.ts (""a failed import commit leaves businessSettings/paintVariants untouched too"" test)","writeImportedBackup() commits every touched record type (settings/catalog/materials/services/projects/provenance) inside ONE IndexedDB transaction; any failure (a version conflict, or -- by the same code path -- a genuine quota/storage exception, since both are surfaced identically as a thrown error inside the same try/catch) aborts the WHOLE transaction, verified by confirming settings/catalog remain completely absent after a forced conflict failure elsewhere in the same commit.",passed,
BACK-023,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Malicious prototype keys/script text in backup WHEN Parse/store/render,Proposed hardening: no prototype pollution or code execution; text remains inert.,uniquely required,,tests/domain/lifeBackRequirements.test.ts,GIVEN Malicious prototype keys/script text in backup WHEN Parse/store/render THEN Proposed hardening: no prototype pollution or code execution; text remains inert.,passed,
BACK-024,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Two projects with same visible title WHEN Restore,Distinct IDs retained; no title-based deduplication.,uniquely required,,tests/domain/lifeBackRequirements.test.ts,GIVEN Two projects with same visible title WHEN Restore THEN Distinct IDs retained; no title-based deduplication.,passed,
BACK-025,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling","GIVEN Local logo embedded in backup, offline restore WHEN Print",Logo resolves from restored local bytes; no remote file dependency.,uniquely required,,"tests/domain/backup.test.ts ""BACK-025"" case; tests/browser/businessLogo.test.tsx ""appears in the customer document preview"" and ""survives save and full reopen""","GIVEN Local logo embedded in backup, offline restore WHEN Print THEN Logo resolves from restored local bytes; no remote file dependency.",passed,
BACK-026,tool-specs/10; DATA_CONTRACT.md,"Backup, restore and conflict handling",GIVEN Import unknown future engine version with schema2 WHEN Validate/display,Compatibility check per documented policy; never silently recalc unsupported issued data. Resolve display-compatibility policy before implementation.,out of tools-only scope,,(not yet executed),"IMPLEMENTATION_DECISIONS.md #5 explicitly states cross-engine-version display compatibility is ""Not implemented in this session beyond storing engineVersion"" and defers the actual compatibility-check policy; the case catalogue itself tags this case contract_status=""decision_required"".",blocked,"Blocked on a real external dependency (Dodo Payments test-mode account / real webhook), not an arithmetic requirement -- pre-existing blocked status from ACCEPTANCE_MATRIX.csv, consistent with ACCESS-007."
UX-001,ACCEPTANCE_TESTS.md P01–P07,"Browser, accessibility and privacy",GIVEN 360px mobile viewport WHEN Complete each free tool and Pro estimate,"No hidden required controls,horizontal page overflow,or unreadable totals.",uniquely required,,"Real-browser verification this session (Browser pane, emulated 360x740 viewport): free tools + Pro app","GIVEN 360px mobile viewport WHEN Complete each free tool and Pro estimate THEN No hidden required controls,horizontal page overflow,or unreadable totals.",passed,
UX-002,ACCEPTANCE_TESTS.md P01–P07,"Browser, accessibility and privacy","GIVEN Keyboard-only user WHEN Navigate inputs,add/remove rows,open errors,print","Visible focus,logical order,operable controls,no trap.",uniquely required,,Real-browser verification this session: actual keyboard Tab/Enter interaction via the Browser pane,"GIVEN Keyboard-only user WHEN Navigate inputs,add/remove rows,open errors,print THEN Visible focus,logical order,operable controls,no trap.",passed,
UX-003,ACCEPTANCE_TESTS.md P01–P07,"Browser, accessibility and privacy",GIVEN Invalid submission WHEN Inspect error announcement and focus,Field-linked message identifies correction; stale final output not announced as valid.,uniquely required,,tests/ui/errorAnnouncement.test.tsx,GIVEN Invalid submission WHEN Inspect error announcement and focus THEN Field-linked message identifies correction; stale final output not announced as valid.,passed,
UX-004,ACCEPTANCE_TESTS.md P01–P07,"Browser, accessibility and privacy",GIVEN Screen reader reads monetary results WHEN Change inputs,Proposed UX gate: result updates announced without reading every keystroke or stripping minus sign/units.,uniquely required,,tests/browser/ariaLiveResults.test.tsx,GIVEN Screen reader reads monetary results WHEN Change inputs THEN Proposed UX gate: result updates announced without reading every keystroke or stripping minus sign/units.,passed,
UX-005,ACCEPTANCE_TESTS.md P01–P07,"Browser, accessibility and privacy",GIVEN Reduce-motion preference enabled WHEN Navigate tools,Essential states remain visible; nonessential motion disabled/reduced.,uniquely required,,tests/browser/reducedMotion.test.ts,GIVEN Reduce-motion preference enabled WHEN Navigate tools THEN Essential states remain visible; nonessential motion disabled/reduced.,passed,
UX-006,ACCEPTANCE_TESTS.md P01–P07,"Browser, accessibility and privacy",GIVEN Optional analytics active WHEN Calculate with customer name/address/notes,"No personal fields,full estimate content or license values sent in analytics.",uniquely required,,tests/integration/noAnalyticsLeak.test.ts,"GIVEN Optional analytics active WHEN Calculate with customer name/address/notes THEN No personal fields,full estimate content or license values sent in analytics.",passed,
UX-007,ACCEPTANCE_TESTS.md P01–P07,"Browser, accessibility and privacy",GIVEN Slow render/repeated calculate clicks WHEN Submit same values,No duplicate project/expense creation or stale result replacing latest input.,uniquely required,,tests/browser/uxRaceAndFailureGuidance.test.tsx,GIVEN Slow render/repeated calculate clicks WHEN Submit same values THEN No duplicate project/expense creation or stale result replacing latest input.,passed,
UX-008,ACCEPTANCE_TESTS.md P01–P07,"Browser, accessibility and privacy",GIVEN Rapid type-invalid-then-valid sequence WHEN Await updates,Latest valid inputs determine result; prior async work cannot overwrite them.,uniquely required,,tests/browser/uxRaceAndFailureGuidance.test.tsx,GIVEN Rapid type-invalid-then-valid sequence WHEN Await updates THEN Latest valid inputs determine result; prior async work cannot overwrite them.,passed,
